epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,2515.14,0.86986,0.59997,0.85797,0.37148,0.375,0.41246,0.19334,2.0143,2.56935,0.96299,0.00096836,0.00096836,0.00096836
129,2528.17,0.88899,0.62301,0.88739,0.37496,0.37489,0.37639,0.18601,1.95515,2.74461,0.95575,0.000962859,0.000962859,0.000962859
130,2542.15,0.72947,0.58077,0.83331,0.37068,0.36205,0.36764,0.1796,1.87828,3.09413,0.95424,0.000957358,0.000957358,0.000957358
131,2556.3,0.93312,0.59899,0.83892,0.32667,0.25,0.31479,0.17297,1.79314,3.33563,0.9596,0.000951857,0.000951857,0.000951857
132,2570.62,0.87396,0.5615,0.86199,0.32207,0.25,0.278,0.16735,1.73716,3.55827,0.94846,0.000946356,0.000946356,0.000946356
133,2584.87,0.76502,0.56715,0.81575,0.30261,0.25,0.2622,0.15009,1.73287,3.83452,0.95217,0.000940855,0.000940855,0.000940855
134,2599.24,0.81071,0.59351,0.86099,0.31683,0.22525,0.27086,0.14057,1.7605,4.1223,0.95039,0.000935354,0.000935354,0.000935354
135,2613.38,0.79256,0.59821,0.88152,0.14316,0.875,0.23952,0.12352,1.74605,4.25748,0.96201,0.000929853,0.000929853,0.000929853
136,2627.74,0.95506,0.60877,0.82954,0.16136,0.875,0.21419,0.10923,1.80432,4.29968,0.96838,0.000924352,0.000924352,0.000924352
137,2642.04,0.96308,0.59551,0.88456,0.14038,0.875,0.20933,0.10218,1.84237,4.13214,0.99195,0.00091885,0.00091885,0.00091885
138,2656.26,0.85956,0.58772,0.81796,0.09318,0.875,0.22227,0.119,1.8867,3.96062,1.01251,0.000913349,0.000913349,0.000913349
139,2670.87,0.96435,0.59247,0.89579,0.28085,0.25,0.28392,0.15538,1.84661,3.85567,0.99557,0.000907848,0.000907848,0.000907848
140,2684.63,0.82139,0.56633,0.85069,0.3236,0.25,0.28741,0.17278,1.78104,3.76396,0.94749,0.000902347,0.000902347,0.000902347
141,2699.32,0.91579,0.61246,0.85388,0.32916,0.25,0.28906,0.16349,1.77574,3.61521,0.9283,0.000896846,0.000896846,0.000896846
142,2714.43,0.91247,0.57675,0.85938,0.32942,0.25,0.28344,0.16295,1.77103,3.57856,0.91822,0.000891345,0.000891345,0.000891345
143,2728.9,0.78783,0.55565,0.83538,0.3267,0.24004,0.2576,0.15336,1.76532,3.72193,0.91746,0.000885844,0.000885844,0.000885844
